DN_BRONSLEUTEL,SH_ARTIKEL_S1,SH_ARTIKEL_S2,SH_BOUWMARKT_S1,SH_BOUWMARKT_S2,SH_PRESENTATIEVARIANT,SH_ARTIKELSOORT,SH_FORMULE,DH_FACING_NUMMER,DH_PV_STARTDATUM,DH_PV_EINDDATUM,MH_AANTAL_FACINGS,MH_AANTAL_PER_FACING,MH_VOORRAAD_MAXIMAAL,MH_VOORRAAD_COMMERCIEEL,EN_START_DATETIME,EA_END_DATETIME,EA_ACTUAL_FLAG,TA_INSERT_DATETIME,TA_UPDATE_DATETIME,TA_HASH,TA_RUNID,TA_ROWID
776-196571-KD0321,117987179,105167838,76001,761243,2102804,5,181,2006,2025-01-20 00:00:00.000,,1,33,33,2,2025-01-20 00:00:00.000,2025-02-27 00:00:00.000,0,2025-01-20 01:51:03.938,2025-02-27 02:02:07.242,5403473667788981727,0,774200861882
776-286840-KD0321,120290146,106869462,76001,761243,2102804,5,181,2006,2025-01-20 00:00:00.000,,1,16,16,2,2025-02-27 00:00:00.000,2026-01-17 00:00:00.000,0,2025-02-27 02:00:32.641,2026-01-17 01:56:00.427,-5267370410951310065,0,1321649064670
776-286840-KD0321,120290146,120122550,76001,762720,2102804,5,181,2006,2025-01-20 00:00:00.000,2026-01-18 00:00:00.000,1,16,16,2,2026-01-17 00:00:00.000,2026-01-19 00:00:00.000,0,2026-01-17 01:55:25.027,2026-01-19 01:40:23.775,3953512077681717961,0,1321648800454
