DN_BRONSLEUTEL,SH_ARTIKEL_S1,SH_ARTIKEL_S2,SH_BOUWMARKT_S1,SH_BOUWMARKT_S2,SH_PRESENTATIEVARIANT,SH_ARTIKELSOORT,SH_FORMULE,DH_FACING_NUMMER,DH_PV_STARTDATUM,DH_PV_EINDDATUM,MH_AANTAL_FACINGS,MH_AANTAL_PER_FACING,MH_VOORRAAD_MAXIMAAL,MH_VOORRAAD_COMMERCIEEL,EN_START_DATETIME,EA_END_DATETIME,EA_ACTUAL_FLAG,TA_INSERT_DATETIME,TA_UPDATE_DATETIME,TA_HASH,TA_RUNID,TA_ROWID
745-286840-KO14Q8,120290146,106660285,47001,761980,2102465,5,181,3005,2024-10-21 00:00:00.000,,1,4,4,2,2025-02-27 00:00:00.000,9999-12-31 00:00:00.000,1,2025-02-27 02:00:32.641,2025-02-27 02:01:13.835,4499932070149128111,0,774200744361
745-196571-KD03T7,117987179,91690325,47001,761346,2101855,5,181,4005,2024-01-08 00:00:00.000,,1,6,6,2,2024-01-08 00:00:00.000,2024-12-12 00:00:00.000,0,2024-01-08 09:37:01.451,2024-12-12 01:54:00.962,-5827409948396409642,0,680175308860
745-196571-KD03T8,117987179,105167838,47001,761980,2102800,5,181,4006,2025-01-20 00:00:00.000,,1,4,4,2,2025-01-20 00:00:00.000,2025-02-27 00:00:00.000,0,2025-01-20 01:51:03.938,2025-02-27 02:02:07.242,-9130831701873606143,0,774200861896
745-196571-KO14Q8,117987179,102361863,47001,761346,2102465,5,181,3005,2024-10-21 00:00:00.000,,1,6,6,2,2024-10-21 00:00:00.000,2025-02-27 00:00:00.000,0,2024-10-20 17:23:12.103,2025-02-27 02:02:07.242,5297125043657166040,0,774200863764
745-286840-KD03T8,120290146,106869462,47001,761980,2102800,5,181,4006,2025-01-20 00:00:00.000,,1,4,4,2,2025-02-27 00:00:00.000,2026-01-17 00:00:00.000,0,2025-02-27 02:00:32.641,2026-01-17 01:56:00.427,8047308864134382586,0,1321648601059
745-286840-KD03T8,120290146,120122550,47001,763268,2102800,5,181,4006,2025-01-20 00:00:00.000,2026-01-18 00:00:00.000,1,4,4,2,2026-01-17 00:00:00.000,2026-01-19 00:00:00.000,0,2026-01-17 01:55:25.027,2026-01-19 01:40:23.775,4087257334822044476,0,1321648800456
745-196571-KD03T7,117987179,102361863,47001,761346,2101855,5,181,4005,2024-01-08 00:00:00.000,2025-01-19 00:00:00.000,1,6,6,2,2024-12-12 00:00:00.000,2025-01-20 00:00:00.000,0,2024-12-12 01:53:25.519,2025-01-20 01:51:59.065,-3331906595844000160,0,680175291865
